ticker,type,detail,weight,country,dtype,currency,account,comment,,Total,Developed Stock,Emerging Stock,Government bonds,Cache
JPY,Bonds,Cache,5.00%,JPN,int,,Currency,,,,,,,
USD,Bonds,Cache,5.00%,USA,,,Currency,,,,,,,
,,,,,,,,,,,,,,
SPLG,Stock,Developed Stock,12.50%,USA,int,USD,SBI,,,,,,,
VEA,Stock,Developed Stock,5.00%,non-USA,int,USD,SBI,,,,,,,
,,,,,,,,,,,,,,
VWO,Stock,Emerging Stock,5.00%,,int,USD,SBI,,,,,,,
,,,,,,,,,,,,,,
VGLT,Bonds,Government Bonds,3.50%,USA,int,USD,SBI,,,,,,,
,,,,,,,,,,,,,,
XLE,Commodity,Energy,3.50%,,int,USD,SBI,,,,,,,
GLDM,Commodity,Precious Metal,6.00%,,int,USD,SBI,,,,,,,
REMX,Commodity,Industrial metal,3.50%,,int,USD,SBI,,,,,,,
DBC,Commodity,Agriculture,5.00%,,int,USD,Monex,,,,,,,
,,,,,,,,,,,,,,
BTC,Commodity,Crypto,4.00%,,,JPY,bitFlyer,,,,,,,
ETH,Commodity,Crypto,3.00%,,,JPY,Coincheck,,,,,,,
PLT,Commodity,Crypto,0.00%,,,JPY,Coincheck,,,,,,,
XYM,Commodity,Crypto,0.00%,,,JPY,bitFlyer,Coincheck,,,,,,
LINK,Commodity,Crypto,0.00%,,,JPY,bitFlyer,,,,,,,
